dataset,sequence,frame_idx,state,event_type,source_branch,source_iou,fusion_iou,margin,source_rank,fusion_rank,rgb_iou,tir_iou,rgb_rank,tir_rank,rgb_path,tir_path
RGBT234,walkingtogether,806,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.7800878589010802,0.08914755842488964,0.6909403004761906,7,16,0.28578171966144783,0.7800878589010802,18,7,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingtogether/visible/00810v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingtogether/infrared/00807i.jpg
RGBT234,woman48,149,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.8523437406649774,0.19916379383700855,0.6531799468279689,10,11,0.1470731086382298,0.8523437406649774,12,10,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman48/visible/00151v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman48/infrared/00150i.jpg
RGBT234,woamn46,158,both_agree,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.6984259772226343,0.06013946324654584,0.6382865139760885,9,20,0.6984259772226343,0.6265062536937689,9,18,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woamn46/visible/00568v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woamn46/infrared/00567i.jpg
RGBT234,woamn46,107,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.8482017683940014,0.21314579501004818,0.6350559733839533,19,11,0.30779002100547964,0.8482017683940014,10,19,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woamn46/visible/00517v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woamn46/infrared/00516i.jpg
RGBT234,woamn46,124,both_agree,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.7429984198869843,0.10834386331165737,0.634654556575327,13,18,0.6374942696054131,0.7429984198869843,13,13,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woamn46/visible/00534v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woamn46/infrared/00533i.jpg
RGBT234,walkingman41,367,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.7030511479924335,0.0785360835790755,0.624515064413358,15,18,0.10236451782535301,0.7030511479924335,14,15,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman41/visible/00533v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman41/infrared/00533i.jpg
RGBT234,womaninblackwithbike,496,both_agree,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.7995548745893463,0.18043735356967697,0.6191175210196693,13,14,0.7995548745893463,0.5558086930446003,13,19,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womaninblackwithbike/visible/00500v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womaninblackwithbike/infrared/00497i.jpg
RGBT234,womaninblackwithbike,685,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.8834941402980916,0.2702848779158067,0.6132092623822849,13,17,0.2829572191946143,0.8834941402980916,13,13,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womaninblackwithbike/visible/00689v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womaninblackwithbike/infrared/00686i.jpg
RGBT234,walkingman20,133,both_agree,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.8460946033565746,0.25635864676008907,0.5897359565964855,5,4,0.8460946033565746,0.7654667753847549,5,16,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman20/visible/02579v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman20/infrared/02576i.jpg
RGBT234,walkingman41,402,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.6290942863246793,0.05065326503157,0.5784410212931094,20,17,0.4167614035323683,0.6290942863246793,14,20,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman41/visible/00568v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman41/infrared/00568i.jpg
RGBT234,womanfaraway,68,both_agree,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.774344304636285,0.19965104109649684,0.5746932635397881,1,6,0.774344304636285,0.639117063764012,1,15,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanfaraway/visible/00074v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanfaraway/infrared/00073i.jpg
RGBT234,walkingman1,267,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.6560621566346923,0.08842090185460426,0.567641254780088,4,15,0.1534757812245751,0.6560621566346923,18,4,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman1/visible/00268v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman1/infrared/00268i.jpg
RGBT234,walkingman1,350,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.5646333026917724,0.0,0.5646333026917724,17,1,0.5646333026917724,0.0,17,1,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman1/visible/00351v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman1/infrared/00351i.jpg
RGBT234,walkingman1,266,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.636510635365864,0.07646753978360818,0.5600430955822558,1,19,0.10575930257499534,0.636510635365864,18,1,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman1/visible/00267v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman1/infrared/00267i.jpg
RGBT234,walkingman20,132,both_agree,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.7945558249682488,0.23484731308294562,0.5597085118853032,2,19,0.7945558249682488,0.7881815531481854,2,6,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman20/visible/02578v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman20/infrared/02575i.jpg
RGBT234,womaninblackwithbike,686,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.7780271178951467,0.22809199909558486,0.5499351187995618,8,16,0.3120626740025483,0.7780271178951467,1,8,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womaninblackwithbike/visible/00690v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womaninblackwithbike/infrared/00687i.jpg
RGBT234,walkingman41,440,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.6748933577348095,0.12572432375844025,0.5491690339763693,3,17,0.16893850724412304,0.6748933577348095,15,3,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman41/visible/00606v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman41/infrared/00606i.jpg
